id,country_name
1,Afghanistan
2,Aland Islands
3,Albania
4,Algeria
5,American Samoa
6,Andorra
7,Angola
8,Anguilla
9,Antarctica
10,Antigua and Barbuda
11,Argentina
12,Armenia
13,Aruba
14,Australia
15,Austria
16,Azerbaijan
17,Sao Tome and Principe
18,Bahamas
19,Bahrain
20,Bangladesh
21,Barbados
22,Belarus
23,Belgium
24,Belize
25,Benin
26,Bhutan
27,Bolivia
28,Bosnia and Herzegovina
29,Botswana
30,Bouvet Island
31,Brazil
32,British Virgin Islands
120,South Korea
34,Brunei Darussalam
35,Bulgaria
36,Burkina Faso
37,Burundi
38,Cambodia
39,Cameroon
40,Canada
41,Cape Verde
42,Cayman Islands
43,Central African Republic
44,Chad
45,Chile
46,China
48,Costa Rica
50,Christmas Island
52,Colombia
53,Comoros
55,Cook Islands
57,Croatia
58,Cuba
59,Cyprus
60,Czech Republic
61,Denmark
62,Djibouti
63,Dominica
64,Dominican Republic
65,Ecuador
66,Egypt
67,El Salvador
68,Equatorial Guinea
69,Eritrea
70,Estonia
71,Ethiopia
73,Faroe Islands
74,Fiji
75,Finland
76,France
77,French Guiana
78,French Polynesia
79,French Southern Territories
80,Gabon
81,Gambia
82,Georgia
83,Germany
84,Ghana
85,Gibraltar
86,Greece
87,Greenland
88,Grenada
89,Guadeloupe
90,Guam
91,Guatemala
92,Guernsey
93,Guinea
94,Guinea-Bissau
95,Guyana
96,Haiti
97,Heard and Mcdonald Islands
99,Honduras
100,Hungary
101,Iceland
104,Indonesia
106,Iraq
107,Ireland
108,Isle of Man
109,Israel
110,Italy
111,Jamaica
112,Japan
113,Jersey
114,Jordan
115,Moldova
116,Kazakhstan
117,Kenya
118,Kiribati
121,Kuwait
122,Kyrgyzstan
124,Latvia
125,Lebanon
126,Lesotho
127,Liberia
128,Libya
129,Liechtenstein
130,Lithuania
131,Luxembourg
133,Madagascar
134,Malawi
135,Malaysia
136,Maldives
137,Bermuda
138,Mali
139,Malta
140,Marshall Islands
141,Martinique
142,Mauritania
143,Mauritius
144,Mayotte
145,Mexico
146,Monaco
147,Mongolia
148,Montenegro
149,Montserrat
150,Morocco
151,Mozambique
152,Myanmar
153,Namibia
154,Nauru
155,Nepal
156,Netherlands
157,Netherlands Antilles
158,New Caledonia
159,New Zealand
160,Nicaragua
161,Niger
162,Nigeria
163,Niue
164,Norfolk Island
165,Northern Mariana Islands
166,Norway
167,Oman
119,North Korea
51,Cocos Islands
54,Democratic Republic of Congo
249,Republic of Congo
72,Falkland Islands
98,Vatican City
102,Micronesia
103,Reunion
105,Iran
123,Laos
132,Macedonia
49,Macao
47,Hong Kong
168,Pakistan
169,Palau
170,Palestinian Territory
171,Panama
172,Papua New Guinea
173,Paraguay
174,Peru
175,Philippines
176,Pitcairn
177,Portugal
178,Puerto Rico
179,Qatar
180,Romania
182,Rwanda
184,Saint Helena
185,Saint Kitts and Nevis
186,Saint Lucia
188,Saint Pierre and Miquelon
189,Saint Vincent and Grenadines
190,Samoa
191,San Marino
192,Saudi Arabia
193,Senegal
194,Serbia
195,Seychelles
196,Sierra Leone
197,Singapore
198,Slovakia
199,Slovenia
200,Solomon Islands
201,Somalia
202,South Africa
203,South Georgia and the South Sandwich Islands
204,South Sudan
205,Spain
206,Sri Lanka
207,Sudan
208,Suriname
209,Svalbard and Jan Mayen Islands
210,Swaziland
211,Sweden
212,Switzerland
215,Tajikistan
217,Thailand
218,India
220,Poland
221,Timor-Leste
222,Togo
223,Tokelau
225,Trinidad and Tobago
226,Tunisia
227,Turkey
228,Turkmenistan
229,Turks and Caicos Islands
230,Tuvalu
231,Uganda
232,Ukraine
233,United Arab Emirates
234,United Kingdom
235,United States of America
236,US Minor Outlying Islands
237,Uruguay
238,Uzbekistan
239,Vanuatu
242,"Virgin Islands, US"
243,Wallis and Futuna Islands
244,Western Sahara
245,Yemen
246,Zambia
247,Zimbabwe
248,The British Indian Ocean Territory
224,Tonga
56,Cote Divoire
181,Russia
183,Saint-Barthelemy
187,Saint Martin
213,Syria
214,Taiwan
240,Venezuela
241,Vietnam
216,Tanzania
